cycle,time_step,voltage,current,temperature,soc,capacity,internal_resistance
0,0,4.123223141713405,1.4585207096486446,25.0,97.96199504873402,2.0,0.05
0,1,4.10851545192543,1.6943065614302077,25.326396496041276,95.59452426939279,2.0,0.05
0,2,4.1082713150422885,1.9569089569224076,25.65279299208255,92.8601166487116,2.0,0.05
0,3,4.13882229584581,1.4297539875829992,25.979189488123826,90.86230771359654,2.0,0.05
0,4,4.1378248555454,1.429758912915246,26.3055859841651,88.86449189626757,2.0,0.05
0,5,4.092919632535162,1.9737638446522174,26.631982480206375,86.10653277959516,2.0,0.05
0,6,4.110396355304194,1.7302304187458726,26.958378976247648,83.68886525049675,2.0,0.05
0,7,4.13535475010306,1.3591576842195143,27.284775472288924,81.78970120595065,2.0,0.05
0,8,4.126617050617434,1.6627680130757894,27.611171968330197,79.46629954217072,2.0,0.05
0,9,4.127159523013734,1.3609746921562613,27.937568464371473,77.56459657503882,2.0,0.05
0,10,4.130129356536916,1.360281073928923,28.26396496041275,75.66386280729658,2.0,0.05
0,11,4.11030721618645,1.5725886814698102,28.590361456454023,73.46646958693402,2.0,0.05
0,12,4.14173713742906,0.9260159266026606,28.916757952495296,72.17253866714475,2.0,0.05
0,13,4.158999025711638,0.9825246502460901,29.243154448536572,70.79964756680188,2.0,0.05
0,14,4.146996713224323,1.3313137412277083,29.56955094457785,68.93939013037226,2.0,0.05
0,15,4.139472365589214,1.1961506638996728,29.89594744061912,67.26799735592556,2.0,0.05
0,16,4.130321618989991,1.594274199778582,30.222343936660398,65.04030275321603,2.0,0.05
0,17,4.142236721383295,1.2275927773436368,30.54874043270167,63.32497561263167,2.0,0.05
0,18,4.139733357973979,1.0763088895994126,30.875136928742947,61.821038896763156,2.0,0.05
0,19,4.106629224521261,1.9396946306764662,31.201533424784223,59.11068501895297,2.0,0.05
0,20,4.143767010171958,1.4322671098540394,31.527929920825496,57.1093644740283,2.0,0.05
0,21,4.123628816538582,1.5202584614063772,31.85432641686677,54.98509277116261,2.0,0.05
0,22,4.162017659351342,1.072575544135963,32.180722912908045,53.48637269465271,2.0,0.05
0,23,4.10696828982698,1.3366851826424453,32.50711940894932,51.61860969170884,2.0,0.05
0,24,4.131555186198105,1.5332767769129598,32.83351590499059,49.47614737195026,2.0,0.05
0,25,4.143135374343717,1.1547019267733092,33.15991240103187,47.86267131471467,2.0,0.05
0,26,4.116374456220156,1.6127094055037017,33.486308897073144,45.609217022549345,2.0,0.05
0,27,4.134927188114137,1.3198083930243585,33.81270539311442,43.76503611931486,2.0,0.05
0,28,4.109499717100891,1.412491875062017,34.1391018891557,41.79134769929041,2.0,0.05
0,29,4.131828880305066,1.3194880163311808,34.465498385196966,39.947614461476554,2.0,0.05
0,30,4.100786952947484,2.055683455352681,34.79189488123824,37.075188288485464,2.0,0.05
0,31,4.139981398818484,1.4959508325786197,35.11829137727952,34.984881868098654,2.0,0.05
0,32,4.135682961751602,1.18268672131323,35.444687873320795,33.332302389529886,2.0,0.05
0,33,4.10457689028952,1.7467634736309567,35.77108436936207,30.891533064555404,2.0,0.05
0,34,4.13829508431372,1.1337469050086932,36.09748086540334,29.307337659851953,2.0,0.05
0,35,4.131021067251949,1.5626590785014267,36.42387736144462,27.123819168781765,2.0,0.05
0,36,4.157682562954793,0.9120989628360674,36.750273857485894,25.84933455570261,2.0,0.05
0,37,4.139625188695806,1.1015441853304708,37.07667035352716,24.310136319509894,2.0,0.05
0,38,4.127179755793097,1.559058370760737,37.40306684956845,22.131649131838444,2.0,0.05
0,39,4.11489377679355,1.721539973998623,37.729463345609716,19.726124844386476,2.0,0.05
0,40,4.13211592568748,1.5514104843569911,38.05585984165099,17.558324121606773,2.0,0.05
0,41,4.1197141932970505,1.465305515283528,38.38225633769227,15.510838696470387,2.0,0.05
0,42,4.126239933967861,1.4096688913232134,38.70865283373354,13.541094858651036,2.0,0.05
0,43,4.14325674832419,1.0564434028897718,39.035049329774814,12.064916377551299,2.0,0.05
0,44,4.1211625136446,1.2840467374815874,39.36144582581609,10.270705577983847,2.0,0.05
0,45,4.1348707843350425,1.3618083687120637,39.68784232185737,8.367837706619014,2.0,0.05
0,46,4.111753719328515,1.8171366678656746,40.014238817898644,5.828735243597222,2.0,0.05
0,47,4.119896860222898,1.6030854868705384,40.34063531393991,3.5887285450760658,2.0,0.05
0,48,4.1490997309966895,0.9710879533911798,40.66703180998119,2.231818050741879,2.0,0.05
0,49,4.105985033038574,1.5972251908184385,40.993428306022466,0.0,2.0,0.05
1,0,4.088613252221868,1.397185645041969,25.0,98.14057096265319,1.9984,0.050050000000000004
1,1,4.104636371140976,1.2593168192335145,25.288953252132025,96.46462312478967,1.9984,0.050050000000000004
1,2,4.095620070665655,1.4516142865001973,25.577906504264053,94.53275833293169,1.9984,0.050050000000000004
1,3,4.0770573031766695,1.6212152570443614,25.866859756396078,92.3751819683052,1.9984,0.050050000000000004
1,4,4.080604304776775,2.065855770363159,26.155813008528106,89.62586070236252,1.9984,0.050050000000000004
1,5,4.092384684321452,1.5523733438495517,26.44476626066013,87.55990183526413,1.9984,0.050050000000000004
1,6,4.074487486883275,1.5772651172168293,26.733719512792156,85.46081602733693,1.9984,0.050050000000000004
1,7,4.097950982483571,1.4776662252701498,27.022672764924184,83.49428030137659,1.9984,0.050050000000000004
1,8,4.109331174067445,0.9243686354102876,27.31162601705621,82.264094543318,1.9984,0.050050000000000004
1,9,4.098536592849298,1.492045837365235,27.600579269188234,80.27842186990169,1.9984,0.050050000000000004
1,10,4.100949240159813,1.518069062982308,27.889532521320263,78.25811647496444,1.9984,0.050050000000000004
1,11,4.045075237469519,2.2389726337455857,28.178485773452287,75.27840454921933,1.9984,0.050050000000000004
1,12,4.102789702150635,1.4422917105656632,28.467439025584312,73.35894660426611,1.9984,0.050050000000000004
1,13,4.089867716896229,1.5904642027000837,28.75639227771634,71.24229493964616,1.9984,0.050050000000000004
1,14,4.099009439794072,1.489586469088427,29.045345529848365,69.25989528925558,1.9984,0.050050000000000004
1,15,4.1267832715334,1.1493965887141404,29.334298781980394,67.73023357245611,1.9984,0.050050000000000004
1,16,4.070654275252032,1.842846844354506,29.62325203411242,65.27770126514574,1.9984,0.050050000000000004
1,17,4.0714400048426365,1.7255799098060323,29.912205286244443,62.98123235856801,1.9984,0.050050000000000004
1,18,4.069495151990897,1.737309584112914,30.201158538376472,60.6691531448831,1.9984,0.050050000000000004
1,19,4.095763990756092,1.2271837635615783,30.490111790508497,59.03596922818289,1.9984,0.050050000000000004
1,20,4.068433667299157,1.9208382932808297,30.779065042640525,56.479642865076876,1.9984,0.050050000000000004
1,21,4.1147279544279955,1.0794446811623157,31.06801829477255,55.04307586949878,1.9984,0.050050000000000004
1,22,4.084222889701893,1.6760571281400811,31.356971546904575,52.81251380827594,1.9984,0.050050000000000004
1,23,4.065649782240826,2.1571366877429936,31.6459247990366,49.94171234467017,1.9984,0.050050000000000004
1,24,4.10527056281262,1.2028391024607936,31.934878051168628,48.34092725049995,1.9984,0.050050000000000004
1,25,4.113305942153562,1.3301106811191685,32.223831303300656,46.57076418581728,1.9984,0.050050000000000004
1,26,4.0861248073928325,1.5298954095262924,32.51278455543268,44.53471982859707,1.9984,0.050050000000000004
1,27,4.125029019584454,1.3489573037651403,32.801737807564706,42.7394749449534,1.9984,0.050050000000000004
1,28,4.119807525867111,1.0348009706801602,33.09069105969673,41.362321536896765,1.9984,0.050050000000000004
1,29,4.080666592341128,1.5205688924418082,33.379644311828756,39.33868927161704,1.9984,0.050050000000000004
1,30,4.09550920625299,1.1813088858821685,33.66859756396079,37.76655742766359,1.9984,0.050050000000000004
1,31,4.0879813747784475,1.6420777291905544,33.95755081609281,35.58121647310081,1.9984,0.050050000000000004
1,32,4.101838167995765,1.224172729729859,34.24650406822484,33.95203975741859,1.9984,0.050050000000000004
1,33,4.074135380821586,1.9649803215052617,34.53545732035686,31.33696746506604,1.9984,0.050050000000000004
1,34,4.106760565402167,1.265024012299129,34.82441057248889,29.65342427253681,1.9984,0.050050000000000004
1,35,4.094375105511263,1.4033815451382974,35.11336382462092,27.78574949018646,1.9984,0.050050000000000004
1,36,4.069584742772514,1.7440551652109009,35.402317076752944,25.46469299462646,1.9984,0.050050000000000004
1,37,4.093600596436401,1.1307407050698135,35.69127032888497,23.959859253900717,1.9984,0.050050000000000004
1,38,4.082387180533252,1.5682379803812387,35.98022358101699,21.87278711102637,1.9984,0.050050000000000004
1,39,4.079204880459687,1.8921428262847284,36.26917683314902,19.35464979227686,1.9984,0.050050000000000004
1,40,4.116544939180242,1.0177550296316318,36.55813008528105,18.000181786025635,1.9984,0.050050000000000004
1,41,4.07503797579902,1.5553901575596913,36.847083337413075,15.930208025822097,1.9984,0.050050000000000004
1,42,4.088097310074875,1.577964838274527,37.1360365895451,13.83019100187694,1.9984,0.050050000000000004
1,43,4.082381744349555,1.7345468615331932,37.424989841677125,11.521788526931147,1.9984,0.050050000000000004
1,44,4.100001881533826,1.1289147867365754,37.71394309380915,10.019384789391239,1.9984,0.050050000000000004
1,45,4.111631548076919,1.1038630160747172,38.00289634594118,8.55032092330714,1.9984,0.050050000000000004
1,46,4.083012775548726,1.6565824696850693,38.2918495980732,6.345676495544225,1.9984,0.050050000000000004
1,47,4.074378713125101,1.589095401969956,38.58080285020523,4.230846484212066,1.9984,0.050050000000000004
1,48,4.090084364427542,1.575147855103763,38.869756102337256,2.1345784111125,1.9984,0.050050000000000004
1,49,4.090673566370088,1.6039344628490928,39.15870935446928,0.0,1.9984,0.050050000000000004
2,0,4.064405393330022,1.816140615610471,25.0,97.64741900620224,1.9968,0.050100000000000006
2,1,4.0754320565074496,1.0866991896128728,25.35032862217042,96.23973733360262,1.9968,0.050100000000000006
2,2,4.079172555187857,1.2186524880254632,25.70065724434084,94.66112681372866,1.9968,0.050100000000000006
2,3,4.074847516992315,1.6545105801625979,26.050985866511258,92.51791713520966,1.9968,0.050100000000000006
2,4,4.055120488068196,1.6541357852736627,26.401314488681678,90.37519295617494,1.9968,0.050100000000000006
2,5,4.066616413122878,1.6545143058918144,26.751643110852097,88.23197845144388,1.9968,0.050100000000000006
2,6,4.0197591717963475,2.655819447196416,27.101971733022516,84.79169948805945,1.9968,0.050100000000000006
2,7,4.0520695964750955,1.6712671532079502,27.452300355192936,82.62678378362547,1.9968,0.050100000000000006
2,8,4.0522565804340624,1.8406696920541796,27.802628977363355,80.24242846655072,1.9968,0.050100000000000006
2,9,4.0231680656606015,1.7862005290479606,28.152957599533774,77.92863107683857,1.9968,0.050100000000000006
2,10,4.049885098646126,1.6954173753917394,28.503286221704194,75.73243180701476,1.9968,0.050100000000000006
2,11,4.072132200799608,1.4054192266078964,28.853614843874613,73.91188854488178,1.9968,0.050100000000000006
2,12,4.046034246362932,1.7276907661479801,29.203943466045033,71.67388316982255,1.9968,0.050100000000000006
2,13,4.097859061580412,1.2681524356387284,29.554272088215452,70.03115171407612,1.9968,0.050100000000000006
